id,base,palette,likes
0,#8A39E1,#8A39E1|#9C51E0|#B667F1|#ECC488,76
1,#9C51E0,#8A39E1|#9C51E0|#B667F1|#ECC488,76
2,#B667F1,#8A39E1|#9C51E0|#B667F1|#ECC488,76
3,#ECC488,#8A39E1|#9C51E0|#B667F1|#ECC488,76
4,#F76E11,#F76E11|#FF9F45|#FFBC80|#FC4F4F,316
5,#FF9F45,#F76E11|#FF9F45|#FFBC80|#FC4F4F,316
6,#FFBC80,#F76E11|#FF9F45|#FFBC80|#FC4F4F,316
7,#FC4F4F,#F76E11|#FF9F45|#FFBC80|#FC4F4F,316
8,#FBF8F1,#FBF8F1|#F7ECDE|#E9DAC1|#54BAB9,608
9,#F7ECDE,#FBF8F1|#F7ECDE|#E9DAC1|#54BAB9,608
10,#E9DAC1,#FBF8F1|#F7ECDE|#E9DAC1|#54BAB9,608
11,#54BAB9,#FBF8F1|#F7ECDE|#E9DAC1|#54BAB9,608
12,#D3ECA7,#D3ECA7|#A1B57D|#B33030|#19282F,536
13,#A1B57D,#D3ECA7|#A1B57D|#B33030|#19282F,536
14,#B33030,#D3ECA7|#A1B57D|#B33030|#19282F,536
15,#19282F,#D3ECA7|#A1B57D|#B33030|#19282F,536
16,#FFEDDB,#FFEDDB|#EDCDBB|#E3B7A0|#BF9270,853
17,#EDCDBB,#FFEDDB|#EDCDBB|#E3B7A0|#BF9270,853
18,#E3B7A0,#FFEDDB|#EDCDBB|#E3B7A0|#BF9270,853
19,#BF9270,#FFEDDB|#EDCDBB|#E3B7A0|#BF9270,853
20,#313552,#313552|#B8405E|#2EB086|#EEE6CE,540
21,#B8405E,#313552|#B8405E|#2EB086|#EEE6CE,540
22,#2EB086,#313552|#B8405E|#2EB086|#EEE6CE,540
23,#EEE6CE,#313552|#B8405E|#2EB086|#EEE6CE,540
24,#219F94,#219F94|#C1DEAE|#F2F5C8|#E8E8A6,624
25,#C1DEAE,#219F94|#C1DEAE|#F2F5C8|#E8E8A6,624
26,#F2F5C8,#219F94|#C1DEAE|#F2F5C8|#E8E8A6,624
27,#E8E8A6,#219F94|#C1DEAE|#F2F5C8|#E8E8A6,624
28,#323232,#323232|#FA4EAB|#FE83C6|#FFF2F9,508
29,#FA4EAB,#323232|#FA4EAB|#FE83C6|#FFF2F9,508
30,#FE83C6,#323232|#FA4EAB|#FE83C6|#FFF2F9,508
31,#FFF2F9,#323232|#FA4EAB|#FE83C6|#FFF2F9,508
